"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",5.04444444444444,-0.8,2.16666666666667,0,67.9777777777778,4.64338217199429,28.189,113.22,28.2491934,113.0748296,1
"01-02",5.43333333333333,0.555555555555556,2.7,0,73.3111111111111,5.03349819798421,28.189,113.22,28.2491934,113.0748296,2
"01-03",4.78888888888889,0.555555555555556,2.76666666666667,0,75.7333333333333,5.05843014737542,28.189,113.22,28.2491934,113.0748296,3
"01-04",5.47777777777778,1.03333333333333,2.22222222222222,0,75.5333333333333,5.23587701250121,28.189,113.22,28.2491934,113.0748296,4
"01-05",5.22222222222222,0.933333333333333,2.58888888888889,0,77.2,5.20381975029718,28.189,113.22,28.2491934,113.0748296,5
"01-06",4.13333333333333,0.455555555555555,2.41111111111111,0,78.0444444444445,4.99709693845168,28.189,113.22,28.2491934,113.0748296,6
"01-07",4.13333333333333,0.811111111111111,2.07777777777778,0,79.7777777777778,5.17482400321459,28.189,113.22,28.2491934,113.0748296,7
"01-08",5.03333333333333,0.855555555555556,1.94444444444444,NA,75.0222222222222,5.13819103006598,28.189,113.22,28.2491934,113.0748296,8
"01-09",5.71111111111111,1.18888888888889,1.98888888888889,0,73.9777777777778,5.40392999060135,28.189,113.22,28.2491934,113.0748296,9
"01-10",5.62222222222222,1.33333333333333,2.25555555555556,0,74.7888888888889,5.35612078677874,28.189,113.22,28.2491934,113.0748296,10
"01-11",4.72222222222222,1.42222222222222,2.54444444444444,0,80.0777777777778,5.39073562859366,28.189,113.22,28.2491934,113.0748296,11
"01-12",4.18888888888889,0.733333333333334,2.42222222222222,0,79.2666666666667,5.15264881280989,28.189,113.22,28.2491934,113.0748296,12
"01-13",3.97777777777778,0.533333333333333,2,0,79.6888888888889,5.08894888705983,28.189,113.22,28.2491934,113.0748296,13
"01-14",4.8,1.3,2.1,0,78.3375,5.29354617294648,28.189,113.22,28.2491934,113.0748296,14
"01-15",4.4,0.777777777777778,2.47777777777778,0,79.4666666666667,5.22596678324817,28.189,113.22,28.2491934,113.0748296,15
"01-16",5.07777777777778,1.28888888888889,1.88888888888889,0,78.3777777777778,5.34132057968581,28.189,113.22,28.2491934,113.0748296,16
"01-17",5.33333333333333,1.67777777777778,2.13333333333333,0,78.9777777777778,5.44545190230911,28.189,113.22,28.2491934,113.0748296,17
"01-18",5.13333333333333,2.36666666666667,1.92222222222222,0,83.8777777777778,5.7607277663125,28.189,113.22,28.2491934,113.0748296,18
"01-19",6.8,2.85555555555556,2.27777777777778,0,79.3333333333333,6.00835837036857,28.189,113.22,28.2491934,113.0748296,19
