"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",-7.175,-16.425,1.65,NA,48.05,1.40348602009578,35.867,104.15,36.536461,104.784953,1
"01-02",-7.3,-17.325,1.775,0,45.225,1.30893796415739,35.867,104.15,36.536461,104.784953,2
"01-03",-7.725,-16.45,1.5,0,50.225,1.41387675792168,35.867,104.15,36.536461,104.784953,3
"01-04",-6.575,-16.175,1.7,NA,48.425,1.42323009695835,35.867,104.15,36.536461,104.784953,4
"01-05",-6.475,-14.75,1.475,NA,53.05,1.59665035649389,35.867,104.15,36.536461,104.784953,5
"01-06",-7.325,-13.675,1.5,NA,61.875,1.78782216819149,35.867,104.15,36.536461,104.784953,6
"01-07",-7.35,-15.025,1.775,NA,54.775,1.6005245612611,35.867,104.15,36.536461,104.784953,7
"01-08",-7.975,-16.5,1.4,0,50.45,1.40230760197197,35.867,104.15,36.536461,104.784953,8
"01-09",-7.4,-17.175,1.35,NA,45.8,1.31255901651488,35.867,104.15,36.536461,104.784953,9
"01-10",-6.7,-17.8,1.725,NA,42.3,1.2438759256388,35.867,104.15,36.536461,104.784953,10
"01-11",-7.175,-19.325,1.55,NA,38.425,1.10889176369997,35.867,104.15,36.536461,104.784953,11
"01-12",-6.725,-18.025,1.575,NA,41.175,1.25043686753939,35.867,104.15,36.536461,104.784953,12
"01-13",-6.15,-15.8,1.4,0.25,49.95,1.55561160280294,35.867,104.15,36.536461,104.784953,13
"01-14",-6.2,-14.85,1.8,NA,52.55,1.61490574125557,35.867,104.15,36.536461,104.784953,14
"01-15",-5.275,-15.7,1.575,NA,44.775,1.48868043034455,35.867,104.15,36.536461,104.784953,15
"01-16",-5.2,-15.85,1.45,NA,44.075,1.48496377852756,35.867,104.15,36.536461,104.784953,16
"01-17",-5.825,-14.625,1.775,0.25,51.625,1.64779897966981,35.867,104.15,36.536461,104.784953,17
"01-18",-4.675,-13.325,2.05,0.255,53.225,1.86507763298224,35.867,104.15,36.536461,104.784953,18
"01-19",-6.15,-14.525,1.875,2.16,57.35,1.71971056666335,35.867,104.15,36.536461,104.784953,19
"01-20",-7.475,-16.25,1.725,0.76,55.15,1.47629802415851,35.867,104.15,36.536461,104.784953,20
"01-21",-7.725,-17.675,1.5,0.51,51.175,1.30680745058113,35.867,104.15,36.536461,104.784953,21
"01-22",-7.475,-17.325,1.625,NA,51.95,1.32404068440972,35.867,104.15,36.536461,104.784953,22
"01-23",-6.625,-15.775,1.75,NA,51.375,1.51627260465153,35.867,104.15,36.536461,104.784953,23
