"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",16.15,8.7,1.4,NA,62.95,8.69761473700062,22.35,110.933,21.6656961,110.9209511,1
"01-02",16.75,10.25,1.3,NA,66.7,9.84019927579364,22.35,110.933,21.6656961,110.9209511,2
"01-03",17.65,11.75,1.65,NA,69.3,10.8172422262562,22.35,110.933,21.6656961,110.9209511,3
"01-04",18.5,16.4,1.05,22.1,87.85,14.0340476800479,22.35,110.933,21.6656961,110.9209511,4
"01-05",20.65,18,1.3,0,84.8,15.2308070787942,22.35,110.933,21.6656961,110.9209511,5
"01-06",20.8,16.8,1.9,0.25,77.9,14.1049655959633,22.35,110.933,21.6656961,110.9209511,6
"01-07",16.75,12.45,2.4,NA,75.75,10.9242769145059,22.35,110.933,21.6656961,110.9209511,7
"01-08",16.85,11.35,1.95,NA,70.7,10.3565757771051,22.35,110.933,21.6656961,110.9209511,8
"01-09",16.9,10.8,1.9,0.51,68.2,10.0393596045156,22.35,110.933,21.6656961,110.9209511,9
"01-10",15.7,12.1,2.15,11.305,80.05,10.9991891894038,22.35,110.933,21.6656961,110.9209511,10
"01-11",13.25,11.1,1.9,11.81,86.85,10.0415729258638,22.35,110.933,21.6656961,110.9209511,11
"01-12",13.35,10.5,2.3,37.08,83.15,9.60531463550336,22.35,110.933,21.6656961,110.9209511,12
"01-13",15,10.25,2,22.86,73.3,9.46210947838704,22.35,110.933,21.6656961,110.9209511,13
"01-14",14.4,10.15,1.5,17.78,76.95,9.55774331225127,22.35,110.933,21.6656961,110.9209511,14
"01-15",13.7,9.75,1.3,16.76,78.15,9.24049092093109,22.35,110.933,21.6656961,110.9209511,15
"01-16",17.5,12,1.75,13.97,71.85,10.9994077091903,22.35,110.933,21.6656961,110.9209511,16
"01-17",15.45,9.15,1.9,0.25,66.65,8.79089929006682,22.35,110.933,21.6656961,110.9209511,17
"01-18",15.95,8.45,1.7,0,61.4,8.32346491121767,22.35,110.933,21.6656961,110.9209511,18
"01-19",15.05,8.9,1.55,0,67.3,8.64139593280482,22.35,110.933,21.6656961,110.9209511,19
"01-20",15.4,11.2,1.25,1.78,77,10.1026291393339,22.35,110.933,21.6656961,110.9209511,20
"01-21",15.1,11.1,1.3,0.51,77.75,9.9548553185163,22.35,110.933,21.6656961,110.9209511,21
"01-22",12.5,7.6,2.3,2.29,73.3,7.92865397475756,22.35,110.933,21.6656961,110.9209511,22
"01-23",10.1,5.05,3.25,1.52,71.25,6.92171327880417,22.35,110.933,21.6656961,110.9209511,23
"01-24",10,5.05,2.45,11.18,71.25,7.41861109151647,22.35,110.933,21.6656961,110.9209511,24
"01-25",13,5.55,1.85,6.86,61.85,8.02618656729969,22.35,110.933,21.6656961,110.9209511,25
"01-26",12.6,9.7,1.5,31.24,82.75,9.70150716292504,22.35,110.933,21.6656961,110.9209511,26
"01-27",14.55,12.5,1.7,53.85,88.1,11.0575638765278,22.35,110.933,21.6656961,110.9209511,27
"01-28",16.4,14.35,1.7,86.36,88.55,12.2366419313461,22.35,110.933,21.6656961,110.9209511,28
"01-29",17.85,14.4,1.35,78.99,80.4,12.2165066669252,22.35,110.933,21.6656961,110.9209511,29
"01-30",13,10.4,1.6,9.14,84.4,9.61325053577539,22.35,110.933,21.6656961,110.9209511,30
"01-31",13.05,10.3,1.9,41.15,83.95,9.60295528020092,22.35,110.933,21.6656961,110.9209511,31
"02-01",11.25,7.35,2.4,2.29,77.2,7.86886257724208,22.35,110.933,21.6656961,110.9209511,32
"02-02",12.55,8.25,1.95,1.02,75.2,8.55212138865824,22.35,110.933,21.6656961,110.9209511,33
"02-03",14.5,10.55,1.2,0.635,77.25,9.74866312822428,22.35,110.933,21.6656961,110.9209511,34
"02-04",11.25,7.7,2.5,NA,78.8,8.00970341120993,22.35,110.933,21.6656961,110.9209511,35
"02-05",10.5,4.8,2.85,1.02,68.35,6.57427026556175,22.35,110.933,21.6656961,110.9209511,36
"02-06",12.05,3.05,2,NA,56.2,5.98970909361638,22.35,110.933,21.6656961,110.9209511,37
"02-07",12.05,3.95,1.95,0.25,60.8,6.490441448959,22.35,110.933,21.6656961,110.9209511,38
"02-08",13.9,3.4,1.55,NA,49.15,5.89896152609824,22.35,110.933,21.6656961,110.9209511,39
"02-09",15.65,5.4,1.75,NA,50.5,6.73312842704095,22.35,110.933,21.6656961,110.9209511,40
"02-10",17.4,11.95,2.1,NA,70.65,10.6333684951576,22.35,110.933,21.6656961,110.9209511,41
"02-11",17.3,13.45,1.75,0.25,78.1,11.8361925990524,22.35,110.933,21.6656961,110.9209511,42
"02-12",19.55,15.65,2.6,0.125,78.2,13.4969836557064,22.35,110.933,21.6656961,110.9209511,43
"02-13",19.75,15.05,1.8,0,74.3,12.8578430928082,22.35,110.933,21.6656961,110.9209511,44
"02-14",16.4,12.5,2.5,0,77.85,10.8875531576431,22.35,110.933,21.6656961,110.9209511,45
"02-15",14.65,10.35,2.2,0.125,75.4,10.0983810185105,22.35,110.933,21.6656961,110.9209511,46
"02-16",15.55,10.6,1.65,NA,72.3,10.2429479493602,22.35,110.933,21.6656961,110.9209511,47
"02-17",16.8,11.75,1.45,0,72.15,10.8428626204369,22.35,110.933,21.6656961,110.9209511,48
"02-18",17.25,12.65,1.45,NA,74.35,11.153731447768,22.35,110.933,21.6656961,110.9209511,49
"02-19",16.35,13.75,2.15,4.19,84.65,11.9506927408349,22.35,110.933,21.6656961,110.9209511,50
"02-20",19.1,12.55,2.15,3.3,66.6,11.2777168232732,22.35,110.933,21.6656961,110.9209511,51
"02-21",19.2,16.3,1.95,0,83.3,13.9199010863785,22.35,110.933,21.6656961,110.9209511,52
"02-22",18,16.95,1.25,9.145,93.55,14.4706201149213,22.35,110.933,21.6656961,110.9209511,53
"02-23",16.9,15.1,2.5,3.685,89.05,13.3794578777505,22.35,110.933,21.6656961,110.9209511,54
"02-24",16.95,14,3.2,1.27,82.75,12.7222655741826,22.35,110.933,21.6656961,110.9209511,55
"02-25",17.2,14.2,2.55,0.51,82.7,12.6332579366055,22.35,110.933,21.6656961,110.9209511,56
"02-26",17.4,14.2,2.1,0,81.75,12.5846704445577,22.35,110.933,21.6656961,110.9209511,57
"02-27",19.35,14.55,2.35,0,73.7,12.7377739841485,22.35,110.933,21.6656961,110.9209511,58
"02-28",17.55,14.15,1.75,0,80.45,12.458705877329,22.35,110.933,21.6656961,110.9209511,59
"03-01",16.05,10.05,1.9,NA,67.8,9.23107761701064,22.35,110.933,21.6656961,110.9209511,60
"03-02",18.1,14.05,1.45,0.25,77.35,11.9863089014283,22.35,110.933,21.6656961,110.9209511,61
"03-03",17.85,14.45,1.8,17.27,81.2,12.3007933145233,22.35,110.933,21.6656961,110.9209511,62
"03-04",17.95,14.95,1.85,0,82.85,12.6589227148756,22.35,110.933,21.6656961,110.9209511,63
"03-05",20.3,17.45,1.6,0,83.7,14.7178357490603,22.35,110.933,21.6656961,110.9209511,64
"03-06",17.9,15.05,2.1,0.76,83.6,12.8964069229426,22.35,110.933,21.6656961,110.9209511,65
"03-07",19.65,16.9,2.35,0,84.15,14.2658204245554,22.35,110.933,21.6656961,110.9209511,66
"03-08",22.5,18.9,2.75,NA,80.15,16.0145791956041,22.35,110.933,21.6656961,110.9209511,67
"03-09",21.75,18.8,1.4,0.51,83.3,15.9365777383832,22.35,110.933,21.6656961,110.9209511,68
"03-10",14.3,11.15,2.85,1.27,81.3,10.3840459763754,22.35,110.933,21.6656961,110.9209511,69
"03-11",12.5,9.65,1.7,2.415,82.8,9.33188429161252,22.35,110.933,21.6656961,110.9209511,70
"03-12",13.3,12.1,1.2,2.03,92.5,10.7374015059922,22.35,110.933,21.6656961,110.9209511,71
"03-13",16.25,14.4,2.15,1.27,88.8,12.4760574227633,22.35,110.933,21.6656961,110.9209511,72
"03-14",18.8,15.2,1.95,0,79.75,13.293330825005,22.35,110.933,21.6656961,110.9209511,73
"03-15",19.4,17.65,1.8,1.02,89.7,15.2676084202892,22.35,110.933,21.6656961,110.9209511,74
"03-16",20.5,18.25,2.05,0.51,87.55,15.5918286125499,22.35,110.933,21.6656961,110.9209511,75
"03-17",23.85,20.75,3.35,0.76,82.85,17.8631426021244,22.35,110.933,21.6656961,110.9209511,76
"03-18",24.8,21.2,2.15,0,80.5,18.3145303617634,22.35,110.933,21.6656961,110.9209511,77
"03-19",24,21.15,2,1.02,84.2,18.3027133792146,22.35,110.933,21.6656961,110.9209511,78
"03-20",24.35,20.15,3.1,13.72,77.4,17.1795890623766,22.35,110.933,21.6656961,110.9209511,79
"03-21",21.5,19.45,1.55,17.27,88.4,16.6598191097044,22.35,110.933,21.6656961,110.9209511,80
"03-22",22.45,19.9,2,0.25,85.85,17.0463583328721,22.35,110.933,21.6656961,110.9209511,81
"03-23",21.3,17.85,2.3,9.14,80.75,15.0627161571858,22.35,110.933,21.6656961,110.9209511,82
"03-24",17.45,14.05,2.3,18.29,81.05,12.0005643203249,22.35,110.933,21.6656961,110.9209511,83
"03-25",17.3,12.85,1.7,0.25,75.15,11.2162160717667,22.35,110.933,21.6656961,110.9209511,84
"03-26",19.05,13.6,1.5,0,70.8,11.83493481378,22.35,110.933,21.6656961,110.9209511,85
"03-27",20.3,14,1.65,0,67.9,12.3012022476955,22.35,110.933,21.6656961,110.9209511,86
"03-28",19.9,14.5,1.7,NA,71.25,12.5719239105191,22.35,110.933,21.6656961,110.9209511,87
"03-29",20.95,16.35,2.3,NA,75.05,13.8581603895012,22.35,110.933,21.6656961,110.9209511,88
"03-30",21.9,18.55,2.1,NA,81.3,15.7555060850541,22.35,110.933,21.6656961,110.9209511,89
"03-31",23.45,19.85,2.55,0,80.35,16.9556061401616,22.35,110.933,21.6656961,110.9209511,90
"04-01",24.65,21.1,3.45,NA,80.9,18.2178093419791,22.35,110.933,21.6656961,110.9209511,91
"04-02",25.5,21.55,3.75,NA,78.9,18.6716193825765,22.35,110.933,21.6656961,110.9209511,92
"04-03",25.35,22.35,2.9,0.25,83.8,19.6133432681945,22.35,110.933,21.6656961,110.9209511,93
"04-04",24.3,21.8,2.25,49.28,86.65,19.0382573116327,22.35,110.933,21.6656961,110.9209511,94
"04-05",25.3,20.9,3.3,0.25,76.7,17.9457098074634,22.35,110.933,21.6656961,110.9209511,95
"04-06",25.25,20.45,2.7,NA,74.8,17.4659404996911,22.35,110.933,21.6656961,110.9209511,96
"04-07",23.4,19.5,2.65,3.81,78.8,16.6687956531643,22.35,110.933,21.6656961,110.9209511,97
"04-08",20.85,17.85,1.9,0.25,82.95,15.6717711701092,22.35,110.933,21.6656961,110.9209511,98
"04-09",20.55,18,2.55,0.125,85.3,15.6562461039439,22.35,110.933,21.6656961,110.9209511,99
"04-10",20,17.6,1.8,16.51,86.25,15.3566725364431,22.35,110.933,21.6656961,110.9209511,100
"04-11",20.95,18.1,1.5,11.685,83.8,15.7341614270943,22.35,110.933,21.6656961,110.9209511,101
"04-12",22,17.6,2.1,0.505,77.3,15.466450208527,22.35,110.933,21.6656961,110.9209511,102
"04-13",23.65,17,1.3,0,68.05,15.0686270611621,22.35,110.933,21.6656961,110.9209511,103
"04-14",23.85,18.25,2.05,0,71.6,16.1795912080987,22.35,110.933,21.6656961,110.9209511,104
"04-15",24.15,19.1,2.7,NA,73.8,16.6885938704089,22.35,110.933,21.6656961,110.9209511,105
"04-16",24.8,19.9,2.2,0.76,74.6,17.2800524165056,22.35,110.933,21.6656961,110.9209511,106
"04-17",24.4,19.75,3.3,4.32,75.4,16.8261646885023,22.35,110.933,21.6656961,110.9209511,107
"04-18",24.85,20.6,2.75,0.76,77.25,17.7236962873041,22.35,110.933,21.6656961,110.9209511,108
"04-19",26.2,22.45,2.35,0,79.95,19.7029094985932,22.35,110.933,21.6656961,110.9209511,109
"04-20",23.4,20.6,2.05,18.8,84.85,17.7730710711332,22.35,110.933,21.6656961,110.9209511,110
"04-21",24.3,19.55,1.8,20.57,76,16.7864323676869,22.35,110.933,21.6656961,110.9209511,111
"04-22",21.9,18.5,1.45,53.59,82.55,15.7294825209047,22.35,110.933,21.6656961,110.9209511,112
"04-23",23,20.4,1.4,0.505,85.5,17.5817040637718,22.35,110.933,21.6656961,110.9209511,113
"04-24",23.85,21.35,2,0,86.05,18.6029329044696,22.35,110.933,21.6656961,110.9209511,114
"04-25",25.25,22.3,1.85,1.145,83.75,19.5918536068067,22.35,110.933,21.6656961,110.9209511,115
"04-26",25.65,22.95,2,0.25,85.1,20.4202945795182,22.35,110.933,21.6656961,110.9209511,116
"04-27",25.9,21.15,1.9,NA,75.2,18.2047380294264,22.35,110.933,21.6656961,110.9209511,117
"04-28",25.4,21.45,1.65,0,78.85,18.5687695934399,22.35,110.933,21.6656961,110.9209511,118
"04-29",25.5,22.3,1.35,0,82.55,19.5444082476269,22.35,110.933,21.6656961,110.9209511,119
"04-30",25.65,23.15,1.8,0.89,86.3,20.559931852932,22.35,110.933,21.6656961,110.9209511,120
"05-01",26.25,23.4,3.45,11.935,84.45,20.8421157203785,22.35,110.933,21.6656961,110.9209511,121
"05-02",27.3,24.25,2.8,2.285,83.45,21.8454113558462,22.35,110.933,21.6656961,110.9209511,122
"05-03",27.35,24.05,2.55,10.41,82.25,21.5866491519432,22.35,110.933,21.6656961,110.9209511,123
"05-04",27.35,24.6,2.45,3.56,85.05,22.3041784080999,22.35,110.933,21.6656961,110.9209511,124
"05-05",26.55,24.6,1.95,33.27,89.15,22.3630672721756,22.35,110.933,21.6656961,110.9209511,125
"05-06",26.55,24,1.95,80.645,86.25,21.581182432074,22.35,110.933,21.6656961,110.9209511,126
"05-07",27.15,23.85,2.2,1.52,82.6,21.3586093393324,22.35,110.933,21.6656961,110.9209511,127
"05-08",27.2,24.1,2.5,0.76,83.5,21.680476042569,22.35,110.933,21.6656961,110.9209511,128
"05-09",25.3,23.4,2.35,33.15,89.5,20.9340825261101,22.35,110.933,21.6656961,110.9209511,129
"05-10",26.25,22.15,2.1,9.145,78.25,19.3277575852777,22.35,110.933,21.6656961,110.9209511,130
"05-11",26.35,21.25,1.65,3.685,73.9,18.2932372990019,22.35,110.933,21.6656961,110.9209511,131
"05-12",24.25,21.85,1.5,21.72,86.5,19.1086602840022,22.35,110.933,21.6656961,110.9209511,132
"05-13",25.55,23.15,2.2,0.25,86.85,20.5760889770313,22.35,110.933,21.6656961,110.9209511,133
"05-14",27.6,23.45,2.4,NA,78.15,20.7986192962916,22.35,110.933,21.6656961,110.9209511,134
"05-15",25.25,21.75,2.55,12.7,80.95,19.0220059411152,22.35,110.933,21.6656961,110.9209511,135
"05-16",23.5,18.9,2.05,36.07,76.45,16.202972759214,22.35,110.933,21.6656961,110.9209511,136
"05-17",25.3,21.6,1.5,1.02,81.1,18.9379085244275,22.35,110.933,21.6656961,110.9209511,137
"05-18",26.3,23.75,2.05,6.985,86,21.2987198644007,22.35,110.933,21.6656961,110.9209511,138
"05-19",27.6,24.6,2.3,1.655,83.75,22.3359515859645,22.35,110.933,21.6656961,110.9209511,139
"05-20",25.1,24.15,1.55,240.92,94.5,21.8902715417096,22.35,110.933,21.6656961,110.9209511,140
