"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",-7.66923076923077,-16.1384615384615,1.92307692307692,0,52.2692307692308,1.46595119311977,36.515,103.62,36.474436,103.733224,1
"01-02",-7.59230769230769,-15.8076923076923,1.98461538461538,0,53.8769230769231,1.53398038339353,36.515,103.62,36.474436,103.733224,2
"01-03",-8.03846153846154,-15.3769230769231,2.27692307692308,0,57.8230769230769,1.59266158462053,36.515,103.62,36.474436,103.733224,3
"01-04",-8.16153846153846,-15.6461538461538,2.16153846153846,0,56.7153846153846,1.53146433216776,36.515,103.62,36.474436,103.733224,4
"01-05",-8.69230769230769,-16.5076923076923,1.92307692307692,0,54.9846153846154,1.41244729073862,36.515,103.62,36.474436,103.733224,5
"01-06",-9.18461538461538,-16.3384615384615,1.66923076923077,0,57.4307692307692,1.44642333917032,36.515,103.62,36.474436,103.733224,6
"01-07",-9.47692307692308,-17.2692307692308,2.18461538461538,0,53.8153846153846,1.32615518544845,36.515,103.62,36.474436,103.733224,7
"01-08",-9.5,-17.8307692307692,2.09230769230769,NA,51.5538461538462,1.26604899776233,36.515,103.62,36.474436,103.733224,8
"01-09",-8.86153846153846,-18.0538461538462,2.14615384615385,NA,48.3692307692308,1.24542123539366,36.515,103.62,36.474436,103.733224,9
"01-10",-9.05384615384615,-18.7923076923077,2.21538461538462,0,46.9846153846154,1.18606349599667,36.515,103.62,36.474436,103.733224,10
"01-11",-10.1076923076923,-18.0384615384615,2.3,0,54.5615384615385,1.27739006694116,36.515,103.62,36.474436,103.733224,11
"01-12",-10.1692307692308,-18.3076923076923,2.13846153846154,0,53.9538461538462,1.23655046365666,36.515,103.62,36.474436,103.733224,12
"01-13",-8.73846153846154,-17.3846153846154,2.13846153846154,0,51.5307692307692,1.32762934921878,36.515,103.62,36.474436,103.733224,13
"01-14",-8.35384615384615,-17.0923076923077,2.15384615384615,NA,51.0461538461538,1.35930542555586,36.515,103.62,36.474436,103.733224,14
"01-15",-8.48461538461538,-17.3076923076923,2.00769230769231,NA,50.0461538461538,1.3233877436741,36.515,103.62,36.474436,103.733224,15
"01-16",-7.91538461538462,-17.3307692307692,2.25384615384615,0,48.3076923076923,1.31596944241018,36.515,103.62,36.474436,103.733224,16
"01-17",-8.35384615384615,-16.4461538461538,1.86923076923077,0,53.7692307692308,1.45050104001217,36.515,103.62,36.474436,103.733224,17
"01-18",-7.46153846153846,-15.4307692307692,2.14615384615385,0,54.8153846153846,1.57241793257309,36.515,103.62,36.474436,103.733224,18
"01-19",-8.4,-16.6076923076923,2.57692307692308,0,54.0384615384615,1.43038084671422,36.515,103.62,36.474436,103.733224,19
"01-20",-9.29230769230769,-16.8461538461538,2.00769230769231,0,57.8,1.41084494785181,36.515,103.62,36.474436,103.733224,20
"01-21",-9.36923076923077,-17.8538461538462,2.64615384615385,0,53.6307692307692,1.28888804690793,36.515,103.62,36.474436,103.733224,21
"01-22",-10.3153846153846,-18.2615384615385,2.26153846153846,0,56.1153846153846,1.24521886783633,36.515,103.62,36.474436,103.733224,22
"01-23",-9.76923076923077,-18.9230769230769,2.02307692307692,0,50.3461538461538,1.16916337730703,36.515,103.62,36.474436,103.733224,23
"01-24",-9.03846153846154,-18.0769230769231,1.91538461538462,0,51.1692307692308,1.26411239802004,36.515,103.62,36.474436,103.733224,24
"01-25",-8.00769230769231,-17.1076923076923,2.03076923076923,0,51.0769230769231,1.34940921701169,36.515,103.62,36.474436,103.733224,25
"01-26",-8.03076923076923,-16.1461538461538,2.23076923076923,0,54.4076923076923,1.46430662177731,36.515,103.62,36.474436,103.733224,26
"01-27",-8.13076923076923,-16.9153846153846,2.13846153846154,0,51.5384615384615,1.36077752396112,36.515,103.62,36.474436,103.733224,27
"01-28",-8.42307692307692,-18.1461538461538,2.38461538461538,0,48.7230769230769,1.2279304718009,36.515,103.62,36.474436,103.733224,28
"01-29",-8.09230769230769,-18,2.21538461538462,0,48.6,1.25256740654748,36.515,103.62,36.474436,103.733224,29
"01-30",-7.72307692307692,-17.9692307692308,2.37692307692308,0,48.4076923076923,1.27737036536469,36.515,103.62,36.474436,103.733224,30
"01-31",-7.28461538461538,-17.0384615384615,2.28461538461538,0,48.4615384615385,1.36855996814529,36.515,103.62,36.474436,103.733224,31
"02-01",-6.71538461538462,-16.2076923076923,2.13076923076923,0,49.8846153846154,1.51375826638438,36.515,103.62,36.474436,103.733224,32
"02-02",-6.36923076923077,-15.9,2.28461538461538,0,49.9538461538462,1.54492219947292,36.515,103.62,36.474436,103.733224,33
"02-03",-5.90769230769231,-16.2384615384615,2.36923076923077,0,46.2615384615385,1.47121448189873,36.515,103.62,36.474436,103.733224,34
"02-04",-6.20769230769231,-15.6076923076923,2.35384615384615,0,50.5769230769231,1.5584473511009,36.515,103.62,36.474436,103.733224,35
