"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",7,1.4,0.74,10.035,69.58,5.39902209875202,25.733,112.967,25.7733598,113.0094337,1
"01-02",7.5,3.32,1.08,3.75,76.58,6.11730301530516,25.733,112.967,25.7733598,113.0094337,2
"01-03",5.32,1.7,1.18,5.3975,80,5.53443650821689,25.733,112.967,25.7733598,113.0094337,3
"01-04",4.86,0.36,1.12,6.35,76.14,5.06876199269245,25.733,112.967,25.7733598,113.0094337,4
"01-05",3.46,-0.92,1.26,5.335,78.82,4.50888517172881,25.733,112.967,25.7733598,113.0094337,5
"01-06",4.4,0.52,1.34,1.3975,79.9,4.99517912163743,25.733,112.967,25.7733598,113.0094337,6
"01-07",3.92,1.06,0.94,1.016,82.04,5.23253143811294,25.733,112.967,25.7733598,113.0094337,7
"01-08",4.02,1.46,0.62,0.508,83.68,5.33750321122848,25.733,112.967,25.7733598,113.0094337,8
"01-09",5.54,1.76,0.76,0.1,77.02,5.46910402805801,25.733,112.967,25.7733598,113.0094337,9
"01-10",5.32,1.16,1.24,4.91333333333333,74.7,5.24357809825806,25.733,112.967,25.7733598,113.0094337,10
"01-11",3.7,1.12,1.08,3.175,83.44,5.263785213258,25.733,112.967,25.7733598,113.0094337,11
"01-12",4.48,1.78,0.64,2.438,82.74,5.48618586510228,25.733,112.967,25.7733598,113.0094337,12
"01-13",6.02,3.06,0.46,2.7925,81.62,5.96027944353149,25.733,112.967,25.7733598,113.0094337,13
"01-14",6.76,2.72,0.7,18.3733333333333,77,5.78844907023842,25.733,112.967,25.7733598,113.0094337,14
"01-15",6.32,2.06,0.98,3.1,75.04,5.6253590960212,25.733,112.967,25.7733598,113.0094337,15
"01-16",6.62,2.1,0.8,1.69333333333333,74.74,5.71407313965511,25.733,112.967,25.7733598,113.0094337,16
"01-17",6.92,2.06,1,0.253333333333333,72.78,5.64894438316678,25.733,112.967,25.7733598,113.0094337,17
"01-18",6.42,2.78,0.875,3.55666666666667,78.34,5.92537572894033,25.733,112.967,25.7733598,113.0094337,18
"01-19",9.86,3.74,1.6,1.1,68.52,6.3319460180831,25.733,112.967,25.7733598,113.0094337,19
"01-20",10.08,5.28,1.58,3.72333333333333,74,7.2870267233538,25.733,112.967,25.7733598,113.0094337,20
"01-21",4.76,0.44,1.5,10.9225,76.66,5.0740593221144,25.733,112.967,25.7733598,113.0094337,21
"01-22",3.5,-0.7,1.16,12.1925,77.94,4.64807701301659,25.733,112.967,25.7733598,113.0094337,22
"01-23",4.9,-0.6,0.98,3.6825,74.96,4.69625732885509,25.733,112.967,25.7733598,113.0094337,23
"01-24",6.4,2.68,1.04,3.3,80.22,5.80684907993241,25.733,112.967,25.7733598,113.0094337,24
"01-25",6.6,3.38,0.62,1.676,81.66,6.10017174293252,25.733,112.967,25.7733598,113.0094337,25
"01-26",7.5,3.4,0.54,2.4125,78.2,6.14975826259632,25.733,112.967,25.7733598,113.0094337,26
"01-27",9.26,5.04,0.96,2.16,76.78,6.9011358398938,25.733,112.967,25.7733598,113.0094337,27
"01-28",9.7,5.22,1.08,0.445,75.74,6.96529778233784,25.733,112.967,25.7733598,113.0094337,28
"01-29",9.6,5.74,0.84,0,77.68,7.24079728557998,25.733,112.967,25.7733598,113.0094337,29
"01-30",11.86,7.12,1.2,1.6525,74.84,7.95507598802437,25.733,112.967,25.7733598,113.0094337,30
