"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",9.8,7.5,2.7,3.555,86.5,7.94169385750752,26.539,106.801,27.7237996,106.9191408,1
"01-02",8.4,7.1,2.15,4.95,91.8,7.76615617152225,26.539,106.801,27.7237996,106.9191408,2
"01-03",7.4,7.25,2.7,12.32,98.95,8.07478279270018,26.539,106.801,27.7237996,106.9191408,3
"01-04",8.25,6.7,3.8,0.89,90.5,7.82315795308912,26.539,106.801,27.7237996,106.9191408,4
"01-05",9.5,7.55,2.9,0,88.15,8.06128758030828,26.539,106.801,27.7237996,106.9191408,5
"01-06",11.4,8.25,4.5,0,81.2,8.4115727522135,26.539,106.801,27.7237996,106.9191408,6
"01-07",5.25,3.75,3.5,0.635,90.15,6.37022749538359,26.539,106.801,27.7237996,106.9191408,7
"01-08",3.65,1.65,3.35,0.25,86.8,5.53211585552944,26.539,106.801,27.7237996,106.9191408,8
"01-09",3.8,1.3,2.6,0.635,84.65,5.47650091411522,26.539,106.801,27.7237996,106.9191408,9
"01-10",3.25,-0.15,2.75,2.03,80.15,4.85902473795569,26.539,106.801,27.7237996,106.9191408,10
"01-11",2.75,-1.05,2.3,2.79,78.15,4.51038111808142,26.539,106.801,27.7237996,106.9191408,11
"01-12",4.35,-1.35,2.7,0,68.8,4.37416483432074,26.539,106.801,27.7237996,106.9191408,12
"01-13",5,-0.5,2.25,0.51,68.5,4.66626192455234,26.539,106.801,27.7237996,106.9191408,13
"01-14",4.6,2.05,2.6,0.89,84.55,5.53244447458701,26.539,106.801,27.7237996,106.9191408,14
"01-15",5.15,3.65,2.2,2.03,90,6.21534996999108,26.539,106.801,27.7237996,106.9191408,15
"01-16",4.15,2.25,1.9,1.78,88,5.61860388365885,26.539,106.801,27.7237996,106.9191408,16
"01-17",6.85,4.95,2.7,2.92,87.8,6.79477076102415,26.539,106.801,27.7237996,106.9191408,17
"01-18",4.75,4.25,2.65,2.035,96.6,6.48320292507178,26.539,106.801,27.7237996,106.9191408,18
